"Name","Value","Comment"
"B_Sync_Edit.ToolTipService.ToolTip","संपादित करें","Edit"
"B_TextFormat.ToolTipService.ToolTip","टेक्स्ट प्रारूप","Text Format"
"B_TextStyle.ToolTipService.ToolTip","टेक्स्ट शैली","Text Style"
"B_Theme1.Content","सफेद","White"
"B_Theme1.ToolTipService.ToolTip","सफेद (Ctrl + T + 1)","White (Ctrl + T + 1)"
"B_Theme2.Content","चाँदी","Silver"
"B_Theme2.ToolTipService.ToolTip","चाँदी (Ctrl + T + 2)","Silver (Ctrl + T + 2)"
"B_Theme3.Content","सेपिया","Sepia"
"B_Theme3.ToolTipService.ToolTip","सेपिया (Ctrl + T + 3)","Sepia (Ctrl + T + 3)"
"B_Theme4.Content","रात्रि","Night"
"B_Theme4.ToolTipService.ToolTip","रात्रि (Ctrl + T + 4)","Night (Ctrl + T + 4)"
"B_Theme5.Content","सौरकृत","Solarized"
"B_Theme5.ToolTipService.ToolTip","सौरकृत (Ctrl + T + 5)","Solarized (Ctrl + T + 5)"
"B_Theme6.Content","स्वनिर्धारित","Custom"
"B_TOC.ToolTipService.ToolTip","विषय सूची","Table Of Contents"
"B_ToggleFav.ToolTipService.ToolTip","पसंदीदा टॉगल करें","Toggle Favorite"
"B_ToggleFullscreen.ToolTipService.ToolTip","फ़ुलस्क्रीन टॉगल करें (F11)","Toggle Fullscreen (F11)"
"B_Translate.ToolTipService.ToolTip","अनुवाद करें","Translate"
"B_Tw.ToolTipService.ToolTip","ट्विटर पर हमें अनुगमन करें","Follow us on Twitter"
"B_ZoomIn.ToolTipService.ToolTip","ज़ूम इन करें","Zoom In"
"B_ZoomOut.ToolTipService.ToolTip","ज़ूम आउट करें","Zoom Out"
"C_AddFolder_AddRecent.Content","पुस्तकों को हाल की सूची में जोड़ें","Add books to recent list"
"C_AddFolder_AutoRemove.Content","फ़ोल्डर से फ़ाइलें हटाए जाने पर स्वचालित रूप से लाइब्रेरी से पुस्तकें (नोट्स, हाइलाइट्स आदि सहित) हटा दें","Automatically remove books from the library (including notes, highlights, etc) when files are deleted from the folder"
"C_AddFolder_RecSearch.Content","पुनरावर्ती रूप से उप-फ़ोल्डर खोजें","Recursively search sub-folders"
"C_AddFolder_SyncFolder.Content","इस फ़ोल्डर को सिंक करें और स्वचालित रूप से नई पुस्तकें जोड़ें","Sync this folder and automatically add new books"
"C_Backup_AStats.Content","ऐप के आँकड़े","App statistics"
"C_Backup_BFav.Content","पुस्तक पसंदीदा सूची","Book favorite list"
"C_Backup_BFiles.Content","पुस्तक फ़ाइलें","Book files"
"C_Backup_BMeta.Content","पुस्तक मेटाडेटा","Book metadata"
"C_Backup_Bookmarks.Content","बुकमार्क्स","Bookmarks"
"C_Backup_Config.Description","बैकअप या पुनर्स्थापना कार्रवाई के लिए कॉन्फ़िगरेशन का चयन करें","Select the configuration for backup or restore operation"
"C_Backup_Config.Title","कॉन्फ़िगरेशन चुनें","Choose configuration"
"C_Backup_NandH.Content","नोट्स और हाइलाइट्स","Notes & highlights"
"C_Backup_Operation.Description","वह ऑपरेशन चुनें जिसे आप करना चाहते हैं","Select the operation you want to perform"
"C_Backup_Operation.Title","ऑपरेशन चुनें","Choose operation"
"C_Backup_Storage.Description","ऑपरेशन के लिए स्रोत या लक्ष्य स्टोरेज का चयन करें","Select the source or target storage for the operation"
"C_Backup_Storage.Title","स्टोरेज चुनें","Choose storage"
"C_Books.ToolTipService.ToolTip","पुस्तकें","Books"
"C_ChapterList.ToolTipService.ToolTip","अध्याय सूची","Chapter list"
"C_CollectionType.ToolTipService.ToolTip","संग्रह प्रकार","Collection Type"
"C_General_Advt.Description","विज्ञापन के प्रकार के लिए प्राथमिकता","Preference for type of advertisements"
"C_General_Advt.Title","विज्ञापन प्राथमिकता","Advt. preference"
"C_General_BookTitle.Description","लाइब्रेरी दृश्य में सभी पुस्तकों के लिए शीर्षक प्रदर्शित करें","Display title for all books in the library view"
"C_General_BookTitle.Title","पुस्तक शीर्षक दिखाएं","Show book titles"
"C_General_Lang.Description","बटन, मेनू और अन्य नियंत्रण इस भाषा में दिखाई देंगे।
यह सेटिंग ऐप के अगले प्रारंभ पर लागू की जाएगी।","Buttons, menus and other controls will show in this language.
This setting will be applied on the next start of the app."
"C_General_Lang.Title","प्रदर्शन भाषा","Display language"
"C_General_Tutorial.Description","सभी ट्यूटोरियल फिर से दिखाएँ","Show all the tutorials again"
"C_General_Tutorial.Title","ट्यूटोरियल रीसेट करें","Reset tutorials"
"C_Personal_ColorThemes.Title","कलर थीम","Color themes"
"C_Personal_TransBanckground.Title","पारदर्शी पृष्ठभूमि","Transparent background"
"C_Personal_TransBanckSlider.Title","पृष्ठभूमि पारदर्शिता","Background transparency"
"C_Prem1.BillDetails","त्रैमासिक बिल","Billed quarterly"
"C_Prem1.DurationString"," महीने"," months"
"C_Prem2.BillDetails","सालाना बिल","Billed annually"
"C_Prem2.DurationString"," महीने"," months"
"C_Prem3.BillDetails","एक बार की खरीद","One time purchase"
"C_Prem3.DurationString","लाइफटाइम","Lifetime"
"C_Reader_AutoLayout.Description","2-कॉलम लेआउट में जब डिवाइस पोर्ट्रेट मोड में घूमता है, तो रीडर 1-कॉलम लेआउट पर स्वतः स्विच हो जाएगा, और इसके विपरीत","In 2-column layout when device rotates to portrait mode, reader will auto switch to 1-column layout, and vice versa"
"C_Reader_AutoLayout.Title","1 कॉलम लेआउट पर ऑटो स्विच","Auto switch to 1 column layout"
"C_Reader_AutoScroll.Description","रीड अलाउड मोड में पढ़े जा रहे वाक्य का पालन करने के लिए पेज को ऑटो स्क्रॉल करें","Auto scrolls the page to follow the sentence being read in the ReadAloud mode"
"C_Reader_AutoScroll.Title","रीड अलाउड ऑटो-स्क्रॉल","ReadAloud auto-scroll"
"C_Reader_BookFont.Description","रीडर पुस्तक के साथ पैक किए गए मूल फोंट का उपयोग करेगा","Reader uses the original fonts packaged with the book"
"C_Reader_BookFont.Title","पुस्तक के फ़ॉन्ट का उपयोग करें","Use book's fonts"
"C_Reader_DictLang.Description","इन-रीडर डिक्शनरी की भाषा","Language of the in-reader dictionary"
"C_Reader_DictLang.Title","शब्दकोश भाषा","Dictionary language"
"C_Reader_EnhRender.Description","पुस्तक पढ़ने के लिए प्रस्तुत की जाने वाली प्रारूप/लेआउट में सुधार करेगा","Improves the format/layout in which books are rendered for reading"
"C_Reader_EnhRender.Title","उन्नत प्रतिपादन","Enhanced rendering"
"C_Reader_SearchEngine.Description","वेब खोज के उपयोग के लिए खोज इंजन","Search engine to use for web search"
"C_Reader_SearchEngine.Title","खोज इंजन","Search engine"
"C_Reader_StdMrgn.Description","रीडर में सुसंगत लेआउट प्रदान करने के लिए पुस्तक में निर्दिष्ट किसी भी मार्जिन को ओवरराइड करता है","Overrides any margin specified in the book to provide consistent layout in the reader"
"C_Reader_StdMrgn.Title","मार्जिन को मानकीकृत करें","Standardize margins"
"C_Reader_TextAlign.Description","पाठक में सुसंगत लेआउट प्रदान करने के लिए पुस्तक में सेट किसी भी पाठ संरेखण वरीयता को ओवरराइड करेगा","Overrides any text alignment preference set in the book to provide consistent layout in the reader"
"C_Reader_TextAlign.Title","पाठ संरेखण को ओवरराइड करें","Override text alignment"
"C_ShowFavs.Content","केवल पसंदीदा दिखाएं","Show only favorites"
"CB_Category.ToolTipService.ToolTip","श्रेणियाँ","Categories"
"EBI_Author.Text","लेखक (*) : ","Author(s) : "
"EBI_Cover1.Content","कवर चुनें","Select cover"
"EBI_Cover2.ToolTipService.ToolTip","मूल कवर छवि को पुनर्स्थापित करें","Restore original cover"
"EBI_Description.Text","विवरण : ","Description : "
"EBI_ErrMsg1","श्रृंखला संख्या खाली नहीं हो सकती है","Series number cannot be empty"
"EBI_ErrMsg2","श्रृंखला संख्या मान्य नहीं है","Series number not valid"
"EBI_Genre.Text","शैली (*) : ","Genre(s) : "
"EBI_Language.Text","भाषा (*) : ","Language(s) : "
"EBI_Msg1.Text","• (*) - एकाधिक प्रविष्टियों को अलग करने के लिए सेमी-कोलन ( ; ) का उपयोग करें।"," • (s) - Use semi-colon ( ; ) to separate multiple entries."
"EBI_Publisher.Text","प्रकाशक (*) : ","Publisher(s) : "
"EBI_Series.Text","शृंखला : ","Series : "
"EBI_SeriesNumber.Text","श्रृंखला संख्या : ","Series Number : "
"EBI_Title.Text","पुस्तक जानकारी संपादित करें","Edit book information"
"IAP_Discount.Text","20% की छूट","20% off"
"IAP_Popular.Text","सबसे लोकप्रिय","Most Popular"
"M_About.Content","हमारे बारे में","About us"
"M_AddBook.Text","पुस्तक फ़ाइल डालें","Add book file(s)"
"M_AddFavourite.Text","पसंदीदा बनाएं","Add Favourite"
"M_AddFolder.Text","फोल्डर डालें","Add folder"
"M_Backup.Content","बैकअप और पुनर्स्थापना","Backup & Restore"
"M_BookInfo.Text","पुस्तक की जानकारी","Book Info"
"M_ChngLog.Content","परिवर्तन लॉग","Change log"
"M_CreationTime.Text","रचना समय","Creation time"
"M_Edit.Text","संपादित करें","Edit"
"M_EditBookInfo.Text","पुस्तक जानकारी संपादित करें","Edit Book Info"
"M_General.Content","सामान्य","General"
"M_OpenBook.Text","पुस्तक खोलें","Open Book"
"M_Personal.Content","वैयक्तिकरण","Personalization"
"M_PinUnpin.Text","स्टार्ट पे पिन/अनपिन करें","Pin/Unpin to Start"
"M_PosInBook.Text","पुस्तक में स्थिति","Position in book"
"M_Reader.Content","रीडर","Reader"
"M_Remove.Text","हटाएं","Remove"
"M_RemoveFavourite.Text","पसंदीदा हटाएं","Remove Favourite"
"M_SaveToFile.Text","फाइल में सेव करें","Save to file"
"M_Share.Text","साझा करें","Share"
"M_SyncFolder.Content","फोल्डर सिंक करें","Sync folders"
"N_Collections.Content","संग्रह","Collections"
"N_Feedback.Content","प्रतिक्रिया","Feedback"
"N_Home.Content","गृह","Home"
"N_Library.Content","पुस्तकालय","Library"
"N_OnlineBooks.Content","ऑनलाइन पुस्तकें","Online Books"
"N_Premium.Content","अधिमूल्य","Premium"
"N_ReportBug.Content","समस्या रिपोर्ट करें","Report bug"
"N_Settings.Content","सेटिंग्स","Settings"
"N_Statistics.Content","आँकड़े","Statistics"
"RI_No","नहीं","No"
"RI_Title.Text","क्या आप Aquile Reader का आनंद ले रहे हैं?","Are you enjoying Aquile Reader?"
"RI_Title2","क्या आप हमें स्टोर पर रेट करने के लिए कुछ समय देंगे?","Would you spare a moment to rate us on the store?"
"RI_Title3","क्या आप हमारे साथ कुछ प्रतिक्रिया साझा करना चाहेंगे?","Would you like to share some feedback with us?"
"RI_Yes.Content","हाँ","Yes"
"S_ActSub","एक्टिव सब्सक्रिप्शन","Active subscription"
"S_ActSub_Msg1","ऐसा लगता है कि आपके पास पहले से सक्रिय सब्सक्रिप्शन है, अतिरिक्त बिलिंग से बचने के लिए इसे रद्द करना सुनिश्चित करें।","Looks like you already have an active subscription, make sure to cancel it to avoid additional billing."
"S_AddMore","और जोड़ें ...","Add more ..."
"S_AddSite_Err1","शीर्षक खाली नहीं हो सकता है","Title cannot be empty"
"S_AddSite_Err2","शीर्षक की लंबाई 100 वर्ण तक हो सकती है","Title length can be up-to 100 chars"
"S_AdMsg1","प्रीमियम संस्करण में अपग्रेड करें","Upgrade to PREMIUM version"
"S_AdMsg2","विज्ञापनों को हटाने और अतिरिक्त सुविधाएँ प्राप्त करने के लिए, यहाँ क्लिक करें।","To remove Ads and get additional features, click here."
"S_All","सभी","All"
"S_AppWidthBookInfo","पुस्तक जानकारी फलक खोलने के लिए ऐप्लिकेशन विंडो की चौड़ाई बहुत कम है.","App window width too small to open Book info pane."
"S_AppWidthLess","ऐप्लिकेशन विंडो की चौड़ाई बहुत कम है.","App window width too less."
"S_AS_AvgPagePerHr","प्रति घंटे फ़्लिप किए गए पृष्ठों की औसत संख्या","Avg. number of pages flipped per hour"
"S_AS_AvgReadHours","प्रति दिन औसत पढ़ने के घंटे","Avg. reading hours per day"
"S_AS_AvgTimePerPage","प्रति पृष्ठ औसत पढ़ने का समय (सेकंड)","Avg. reading time (sec) per page"
"S_AS_Msg1","क्या आप वाकई सभी आंकड़े हटाना चाहते हैं?","Are you sure you want to clear all statistics?"
"S_AS_NumBooksLib","पुस्तकालय में पुस्तकों की संख्या","Number of books in library"
"S_AS_NumBooksRead","पढ़ी गई पुस्तकों की संख्या","Number of books read"
"S_AS_NumPagesTurned","फ़्लिप किए गए पृष्ठों की संख्या","Number of pages flipped"
"S_AS_SpeedWPM","पढ़ने की गति (शब्द प्रति मिनट)","Reading speed (words per minute)"
"S_AS_TotalReadHours","पढ़ने के कुल घंटे","Total reading hours"
"S_B_Close","बंद करे","Close"
"S_B_OnlineBookContent1","वह वेबसाइट चुनें जहां से आप ईबुक डाउनलोड करना चाहते हैं।
[1/4]","Select the website from where you want to download the eBook.
[1/4]"
"S_B_OnlineBookContent2","कैटलॉग ब्राउज़ करें और किसी भी ईबुक डाउनलोड लिंक पर क्लिक करें। ऐप पुस्तक को डाउनलोड करेगा और इसे लाइब्रेरी में जोड़ेगा।
[2/4]","Browse the catalog and click on any eBook download link. App will download the book and add it to the library.
[2/4]"
"S_B_OnlineBookContent3","आपके डाउनलोड यहां दिखाई देंगे।
[3/4]","Your downloads would appear here.
[3/4]"
"S_B_OnlineBookContent4","अपनी स्वयं की वेबसाइट जोड़ें जहाँ से आप ई-बुक्स डाउनलोड करना चाहते हैं।
[4/4]","Add your own website from where you want to download eBooks.
[4/4]"
"S_B_OnlineBookTitle1","ईबुक वेबसाइट का चयन करें","Select eBook website"
"S_B_OnlineBookTitle2","ईबुक डाउनलोड करें","Download eBook"
"S_B_OnlineBookTitle3","डाउनलोड ट्रैक करें","Track downloads"
"S_B_OnlineBookTitle4","ईबुक वेबसाइट जोड़ें","Add eBook website"
"S_B_PauseReading","पढ़ना रोकें (स्पेस)","Pause Reading (Space)"
"S_B_StartReading","पढ़ना शुरू करें (स्पेस)","Start Reading (Space)"
"S_B_TutDone","हो गया","Done"
"S_B_TutNext","अगला","Next"
"S_B_TutReaderContent1","अगले या पिछले पेज पर जाने के लिए स्क्रीन के किनारों पर टैप करें, पेज स्वाइप करें, ← / → कीबोर्ड कुंजियों का इस्तेमाल करें या माउस स्क्रोल व्हील का इस्तेमाल करें.
[1/8]","Tap on the edges of the screen, swipe the page, use ← / → keyboard keys or use mouse scroll wheel, to go to next or previous page.
[1/8]"
"S_B_TutReaderContent2","रीडर संदर्भ मेन्यू खोलने के लिए टेक्स्ट चुनें या किसी भी शब्द पर राइट क्लिक करें।
आप यहां से नोट, हाइलाइट या बुकमार्क जोड़ सकते हैं।
[2/8]","Select text or right click on any word to open the Reader context menu.
You can add note, highlight or bookmark from here.
[2/8]"
"S_B_TutReaderContent3","पुस्तक की विषय सूची को यहां से से देखें.
[3/8]","Access the table of contents of the book from here.
[3/8]"
"S_B_TutReaderContent4","आपके नोट्स और हाइलाइट्स यहां सूचीबद्ध होंगे.
[4/8]","Your notes and highlights would be listed here.
[4/8]"
"S_B_TutReaderContent5","आपके बुकमार्क्स यहां दिखाई देंगे.
[5/8]","Set bookmarks would appear here.
[5/8]"
"S_B_TutReaderContent6","मौजूदा अध्याय या पूरी किताब में खोजें.
[6/8]","Search in the current chapter or the entire book.
[6/8]"
"S_B_TutReaderContent7","आप इसका उपयोग पुस्तक को जोर से पढ़ के सुनने (रीड अलाउड) लिए कर सकते हैं (टेक्स्ट-टू-स्पीच)।
[7/8]","You can use this to read aloud the book contents (text-to-speech).
[7/8]"
"S_B_TutReaderContent8","आप यहां से पृष्ठ विन्यास, शैली, रंग योजना आदि को कॉन्फ़िगर कर सकते हैं।
[8/8]","You can configure the page layout, style, color scheme, etc. from here.
[8/8]"
"S_B_TutReaderTitle1","पेज चेंज","Page change"
"S_B_TutReaderTitle2","रीडर संदर्भ मेन्यू","Reader context menu"
"S_B_TutReaderTitle3","विषय सूची","Table of contents"
"S_B_TutReaderTitle4","नोट्स और हाइलाइट्स","Notes and highlights"
"S_B_TutReaderTitle5","बुकमार्क्स","Bookmarks"
"S_B_TutReaderTitle6","खोजें","Search"
"S_B_TutReaderTitle7","रीड अलाउड","ReadAloud"
"S_B_TutReaderTitle8","टेक्स्ट शैली","Text style"
"S_Backup","बैकअप","Backup"
"S_Backup_ErrMsg1","कम से कम 1 कॉन्फिगरेशन चुनें","Select at-least 1 configuration"
"S_Backup_ErrMsg2","प्रचालन विफल रहा। कृपया समर्थन से संपर्क करें।","Operation failed. Plz contact support."
"S_BannerAds","बैनर विज्ञापन","Banner Ads"
"S_BookAddedMsg","{0}: पुस्तक सफलतापूर्वक जोड़ी गई।","{0}: Book added successfully."
"S_BookAddStartScreen","पुस्तक स्टार्ट स्क्रीन में जोड़ी गई।","Book added to start screen."
"S_BookExistsMsg","{0}: पुस्तक पहले से मौजूद है।","{0}: Book already exists."
"S_BookFont","पुस्तक का फ़ॉन्ट","Book's font"
"S_BookmarkAdded","बुकमार्क जोड़ा गया।","Bookmark added."
"S_BookmarkExists","बुकमार्क पहले से मौजूद है.","Bookmark already exists."
"S_BookRmStartScreen","पुस्तक को स्टार्ट स्क्रीन से निकाला गया।","Book removed from start screen."
"S_BooksAdded","{0} पुस्तकें जोड़ी गईं।","{0} book(s) added."
"S_BooksAlreadyExists","पुस्तक पहले से मौजूद है।","Book already exists."
"S_BookSystemLimitError_Msg","और किताबें नहीं जोड़ी जा सकती क्योंकि सिस्टम की सीमा पूरी हो चुकी है। व्यक्तिगत रूप से जोड़ी गई पुस्तक फ़ाइलों को हटाने पर विचार करें और थोक में पुस्तकें जोड़ने के लिए 'फ़ोल्डर जोड़ें' विकल्प का उपयोग करें।","Cannot add more books as the system limit has been reached. Consider removing individually added book files and use 'Add Folder' option to add books in bulk."
"S_BookSystemLimitError_Title","पुस्‍तकें जोड़ने में असमर्थ","Unable to add book(s)"
"S_Cancelled","रद्द किया गया","Cancelled"
"S_Collapse","संक्षिप्त करें","Collapse"
"S_CollectionConstAll","सभी","All"
"S_CollectionConstBookmarks","बुकमार्क्स","Bookmarks"
"S_CollectionConstHighlights","हाइलाइट्स","Highlights"
"S_CollectionConstNotes","नोट्स","Notes"
"S_Completed","पूरा हुआ","Completed"
"S_Confirmation","पुष्टीकरण","Confirmation"
"S_CTheme1","वाइन यार्ड","Vine Yard"
"S_CTheme2","डार्क साइड","Dark Side"
"S_CTheme3","ताजा बेरी","Fresh Berry"
"S_CTheme4","पल्पी ऑरेंज","Pulpy Orange"
"S_CTheme5","स्वच्छ आकाश","Clear sky"
"S_CTheme6","फ़्लैश","Flash"
"S_CTheme7","फ़िरोज़ा","Turquoise"
"S_CTheme8","हरा सेब","Green Apple"
"S_CThemeMsg1","थीम क्लिपबोर्ड पर कॉपी की गई।","Theme copied to clipboard."
"S_CThemeMsg2","थीम चयनित नहीं है।","Theme not selected."
"S_CurrentChapter","वर्तमान अध्याय","Current chapter"
"S_DateAdded.Text","जोड़ने की तिथि : ","Date added : "
"S_Description.Text","विवरण : ","Description : "
"S_DockLeft","बाईं ओर डॉक करें","Dock left"
"S_DockRight","दाईं ओर डॉक करें","Dock right"
"S_DownloadBook","पुस्तक डाउनलोड करें","Download book"
"S_DownloadBook_Msg","क्या आप इस पुस्तक को डाउनलोड करना और पुस्तकालय में जोड़ना चाहते हैं?","Do you want to download this book and add to library?"
"S_Downloading","डाउनलोड हो रहा है","Downloading"
"S_EntireBook","पूरी पुस्तक","Entire book"
"S_ErrMsg1","एक्वील रीडर को पुस्तक फ़ाइल - {0} पढ़ने की अनुमति नहीं है।
'अनुमति दें' पर क्लिक करें और फ़ाइल पिकर विंडो में उसी पुस्तक फ़ाइल का चयन करें।","Aquile Reader does not have permission to access the book file - {0}.
Click 'Grant Permission' and select the same book file in the file picker window."
"S_ErrMsg1_btn","अनुमति दें","Grant Permission"
"S_ErrMsg2","आप जिस फ़ाइल को खोलने का प्रयास कर रहे हैं, वह अब मौजूद नहीं है.
कृपया जांचें और फिर से प्रयास करें.","The file you are trying to open, no longer exists.
Please check and try again."
"S_ErrMsg3","फ़ाइल उपयोग में हो सकती है, लॉक हो सकती है, या आपके पास पर्याप्त अनुमतियाँ नहीं हैं।","The file may be in use, locked, or you don't have sufficient permissions."
"S_ErrMsg4","चयनित फ़ाइल मूल पुस्तक फ़ाइल - {0} से भिन्न है।","Selected File is different from the original book file - {0}."
"S_ErrMsg6","यदि समस्या बनी रहती है तो कृपया समर्थन से संपर्क करें।","If the problem persists please contact support."
"S_ErrTitle1","किताब पढ़ने में असमर्थ!","Unable to access the book!"
"S_ErrTitle2","फ़ाइल मौजूद नहीं है!","File does not exist!"
"S_ErrTitle3","फ़ाइल खोली नहीं जा सकती है!","Can't open file!"
"S_ErrTitle4","यह वही फाइल नहीं है!","Not the same file!"
"S_ErrTitle5","अनपेक्षित गड़बड़ी हुई!","Unexpected error occurred!"
"S_ErrTitle6","फ़ाइल खोली नहीं जा सकी","Couldn't open file"
"S_Expand","विस्तृत करें","Expand"
"S_Failed","असफल रहा","Failed"
"S_FileCountLimitBtn1","निरस्त करें और 'फ़ोल्डर जोड़ें' का उपयोग करें","Abort and use 'Add Folder'"
"S_FileCountLimitBtn2","पुस्तकें जोड़ना जारी रखें","Continue to add books"
"S_FileCountLimitMsg","बड़ी संख्या में व्यक्तिगत पुस्तक फ़ाइलों को जोड़ने से सिस्टम सीमा हिट हो सकती है, इस प्रकार हम नई पुस्तकें नहीं जोड़ सकेंगे।
थोक में पुस्तक फ़ाइलें जोड़ने के लिए 'फ़ोल्डर जोड़ें' विकल्प का उपयोग करें।","Adding large number of individual book files can hit system limit, thus preventing new book from being added.
Use 'Add Folder' option to add book files in bulk."
"S_FileCountLimitTitle","चेतावनी!","Warning!"
"S_FileNotSaved","{0} सहेजा नहीं जा सका।","{0} could not be saved."
"S_FilePath.Text","फ़ाइल पथ : ","File path : "
"S_FileSaved","{0} सहेजा गया था।","{0} was saved."
"S_Genre.Text","शैली : ","Genre : "
"S_GoPrem","प्रीमियम यूजर बनें","Go Premium"
"S_HighNotes_Msg1","चयनित सामग्री में शीर्षलेख या पादलेख से रिक्त स्थान शामिल नहीं होना चाहिए। कृपया पुनः चयन करें।","Selected content should not include the white spaces from header or footer. Please re-select."
"S_HighNotesMsg1","खोज फलक खुला होने पर हाइलाइट जोड़ा नहीं जा सकता।","Highlight cannot be added while search pane is open."
